question,fault,label,arg,c_faults,c_checks,nc_faults,nc_checks
e,param,c,4,2,2,0,7
e,param,c,2,1,2,1,7
e,param,b,1,0,1,1,10
e,param,c,1,1,2,1,7
a,param,a,2,8,10,8,18
e,param,c,3,2,4,1,14
e,label,b,I,1,4,0,14
e,label,b,d,1,4,0,14
e,label,b,a,1,4,0,14
e,label,b,.,0,4,1,14
g,param,b,2,7,11,0,21
e,label,b,c,0,4,3,14
a,param,b,2,4,10,5,16
a,param,b,1,2,10,4,16
g,param,b,1,6,14,7,32
e,label,c,d,3,11,4,22
e,label,c,g,3,11,1,22
a,label,b,"""",0,10,1,19
e,label,c,V,1,11,0,22
e,label,c,-,1,11,2,22
e,label,c,i,1,11,1,22
a,param,b,3,0,10,3,16
a,param,a,3,0,10,2,18
a,label,b,.,0,10,1,19
a,label,b,z,0,10,1,19
e,label,c,a,0,11,1,22
e,label,c,b,0,11,1,22
e,label,c,0,0,11,3,22
e,label,c,8,0,11,1,22
e,label,c,r,0,11,1,22
e,halt,d,_,2,15,2,23
e,param,a,1,3,17,4,40
e,param,a,2,3,17,11,40
e,halt,d,g,0,15,1,23
c,param,a,1,11,27,1,59
c,halt,c,_,2,19,2,24
a,halt,c,_,0,18,1,22
a,halt,c,e,0,18,1,22
c,param,a,2,8,26,2,49
c,param,a,3,7,26,9,49
g,param,a,2,2,21,1,32
c,halt,c,c,0,19,1,24
a,label,a,c,10,29,2,26
g,halt,d,_,2,22,2,22
g,halt,d,1,1,22,1,22
g,halt,d,b,1,22,0,22
g,halt,d,I,1,22,0,22
g,param,a,1,0,21,1,32
g,halt,d,:,0,22,1,22
e,label,a,b,6,28,5,52
c,param,a,4,3,26,6,49
g,label,a,d,3,26,0,35
a,label,a,I,4,29,1,26
g,label,a,?,1,26,0,35
g,label,a,b,1,26,0,35
g,label,b,a,11,37,16,63
g,label,a,4,0,26,1,35
g,label,a,i,0,26,1,35
g,label,a,I,0,26,1,35
e,label,a,?,1,28,0,52
a,label,a,g,2,29,0,26
e,label,a,1,28,1,52
e,label,a,<,1,28,0,52
e,label,a,I,1,28,1,52
e,label,a,c,1,28,0,52
e,param,a,3,7,34,13,80
e,label,a,x,0,28,1,52
e,label,a,r,0,28,1,52
e,label,a,G,0,28,1,52
e,label,a,1,0,28,1,52
e,label,a,(,0,28,1,52
a,label,a,G,1,29,0,26
a,label,a,s,1,29,0,26
a,label,a,e,1,29,0,26
a,label,a,u,0,29,1,26
a,label,a,0,0,29,1,26
a,label,a,n,0,29,1,26
a,label,a,b,0,29,1,26
g,label,b,I,5,37,1,63
g,label,b,g,2,37,1,63
g,label,b,d,2,37,1,63
g,label,b,1,37,0,63
g,label,b,.,1,37,0,63
g,label,b,n,0,37,3,63
g,label,b,p,0,37,1,63
g,label,b,<,0,37,1,63
g,label,b,e,0,37,1,63
g,label,b,f,0,37,2,63
g,label,b,i,0,37,2,63
g,label,b,r,0,37,1,63
g,label,b,1,0,37,1,63
c,label,a,e,10,64,6,112
c,label,a,b,8,64,1,112
c,label,a,I,2,64,0,112
c,label,a,1,64,1,112
c,label,a,c,0,64,1,112
c,label,a,0,0,64,1,112
c,label,a,d,0,64,2,112
c,label,a,a,0,64,2,112
